date,GMSL
1993-01,3.7
1993-02,0.0
1993-03,8.0
1993-04,2.0
1993-05,6.1
1993-06,0.9
1993-07,6.7
1993-08,7.5
1993-09,15.0
1993-10,13.9
1993-11,13.1
1993-12,12.0
1994-01,8.1
1994-02,3.4
1994-03,11.8
1994-04,8.3
1994-05,3.5
1994-06,3.1
1994-07,4.3
1994-08,10.7
1994-09,11.8
1994-10,17.4
1994-11,9.1
1994-12,13.0
1995-01,7.6
1995-02,9.7
1995-03,9.4
1995-04,11.8
1995-05,3.2
1995-06,8.4
1995-07,3.5
1995-08,14.3
1995-09,16.9
1995-10,21.6
1995-11,15.7
1995-12,18.2
1996-01,5.2
1996-02,15.3
1996-03,10.1
1996-04,14.0
1996-05,11.9
1996-06,14.6
1996-07,16.2
1996-08,19.1
1996-09,22.7
1996-10,33.6
1996-11,28.1
1996-12,16.4
1997-01,15.9
1997-02,12.6
1997-03,17.6
1997-04,14.2
1997-05,18.3
1997-06,15.4
1997-07,24.4
1997-08,24.7
1997-09,36.1
1997-10,30.8
1997-11,32.9
1997-12,21.4
1998-01,26.2
1998-02,22.6
1998-03,28.5
1998-04,24.7
1998-05,25.8
1998-06,20.1
1998-07,27.3
1998-08,26.9
1998-09,33.4
1998-10,35.7
1998-11,33.1
1998-12,30.3
1999-01,27.8
1999-02,28.0
1999-03,23.1
1999-04,23.9
1999-05,19.5
1999-06,21.2
1999-07,22.5
1999-08,30.0
1999-09,29.8
1999-10,42.1
1999-11,30.5
1999-12,37.6
2000-01,27.6
2000-02,31.9
2000-03,27.1
2000-04,28.9
2000-05,21.5
2000-06,27.4
2000-07,22.7
2000-08,33.5
2000-09,34.9
2000-10,44.3
2000-11,36.7
2000-12,34.6
2001-01,32.1
2001-02,31.4
2001-03,32.8
2001-04,31.9
2001-05,29.8
2001-06,29.5
2001-07,35.3
2001-08,34.8
2001-09,46.7
2001-10,41.9
2001-11,45.2
2001-12,35.5
2002-01,37.6
2002-02,35.6
2002-03,34.7
2002-04,33.7
2002-05,34.6
2002-06,31.7
2002-07,38.2
2002-08,43.9
2002-09,44.7
2002-10,50.1
2002-11,44.9
2002-12,42.0
2003-01,39.7
2003-02,40.3
2003-03,39.1
2003-04,37.7
2003-05,37.2
2003-06,33.9
2003-07,37.0
2003-08,40.7
2003-09,49.6
2003-10,49.6
2003-11,47.1
2003-12,44.0
2004-01,44.3
2004-02,40.2
2004-03,41.8
2004-04,40.5
2004-05,38.0
2004-06,37.3
2004-07,41.2
2004-08,43.3
2004-09,50.9
2004-10,49.3
2004-11,47.8
2004-12,48.1
2005-01,43.4
2005-02,44.2
2005-03,45.1
2005-04,42.3
2005-05,42.2
2005-06,42.5
2005-07,43.7
2005-08,47.6
2005-09,52.5
2005-10,55.1
2005-11,56.2
2005-12,53.5
2006-01,45.3
2006-02,46.7
2006-03,45.3
2006-04,45.1
2006-05,43.9
2006-06,44.7
2006-07,46.8
2006-08,50.3
2006-09,55.2
2006-10,58.2
2006-11,52.8
2006-12,52.5
2007-01,45.8
2007-02,46.1
2007-03,45.9
2007-04,49.8
2007-05,44.7
2007-06,44.1
2007-07,44.3
2007-08,49.4
2007-09,53.3
2007-10,56.6
2007-11,58.5
2007-12,51.7
2008-01,51.4
2008-02,47.0
2008-03,51.0
2008-04,48.8
2008-05,53.7
2008-06,50.5
2008-07,52.2
2008-08,54.6
2008-09,61.0
2008-10,62.5
2008-11,63.0
2008-12,58.4
2009-01,59.3
2009-02,56.3
2009-03,52.4
2009-04,56.2
2009-05,53.8
2009-06,55.2
2009-07,54.8
2009-08,57.1
2009-09,60.3
2009-10,66.7
2009-11,68.6
2009-12,67.7
2010-01,64.5
2010-02,57.7
2010-03,57.4
2010-04,57.3
2010-05,57.8
2010-06,58.3
2010-07,61.1
2010-08,60.5
2010-09,62.7
2010-10,63.3
2010-11,67.4
2010-12,64.1
2011-01,61.8
2011-02,57.2
2011-03,56.1
2011-04,52.4
2011-05,54.8
2011-06,53.3
2011-07,58.0
2011-08,57.0
2011-09,65.0
2011-10,65.9
2011-11,71.5
2011-12,67.5
2012-01,68.1
2012-02,69.1
2012-03,65.7
2012-04,64.9
2012-05,63.7
2012-06,64.8
2012-07,67.6
2012-08,72.0
2012-09,73.1
2012-10,77.7
2012-11,79.8
2012-12,79.8
2013-01,78.0
2013-02,75.5
2013-03,70.9
2013-04,73.4
2013-05,69.7
2013-06,70.3
2013-07,68.4
2013-08,72.5
2013-09,72.1
2013-10,77.6
2013-11,78.9
2013-12,80.7
2014-01,75.8
2014-02,74.3
2014-03,73.3
2014-04,74.0
2014-05,71.1
2014-06,70.7
2014-07,72.6
2014-08,75.9
2014-09,80.7
2014-10,82.1
2014-11,85.8
2014-12,81.6
2015-01,85.0
2015-02,79.8
2015-03,82.8
2015-04,80.0
2015-05,82.1
2015-06,79.0
2015-07,83.9
2015-08,84.8
2015-09,91.3
2015-10,94.8
2015-11,99.4
2015-12,95.9
2016-01,93.7
2016-02,90.2
2016-03,89.0
2016-04,88.2
2016-05,85.9
2016-06,87.6
2016-07,89.0
2016-08,89.0
2016-09,94.2
2016-10,95.6
2016-11,99.5
2016-12,94.3
2017-01,89.4
2017-02,85.1
2017-03,88.0
2017-04,89.3
2017-05,87.1
2017-06,87.1
2017-07,90.6
2017-08,95.0
2017-09,99.3
2017-10,100.1
2017-11,103.1
2017-12,98.8
2018-01,94.2
2018-02,91.3
2018-03,92.6
2018-04,88.4
2018-05,92.4
2018-06,90.6
2018-07,95.0
2018-08,96.4
2018-09,104.3
2018-10,106.4
2018-11,105.4
2018-12,100.8
2019-01,99.9
2019-02,98.1
2019-03,100.1
2019-04,97.8
2019-05,99.9
2019-06,99.3
2019-07,101.7
2019-08,106.8
2019-09,110.2
2019-10,111.7
2019-11,111.0
2019-12,108.6
2020-01,101.4
2020-02,103.5
2020-03,100.4
2020-04,102.1
2020-05,101.5
2020-06,102.7
2020-07,104.5
